,touch_x,touch_y,key
82893,0.531481481481,0.395209580838,g
82894,0.0,0.8922155688619999,symbol
82895,0.46666666666699996,0.808383233533,space
82896,0.627777777778,0.194610778443,u
82897,0.47037037037,0.152694610778,t
82898,0.603703703704,0.8652694610780001,space
82899,0.8833333333329999,0.589820359281,delete
82900,0.912962962963,0.5,l
82901,0.901851851852,0.511976047904,l
82902,0.281481481481,0.140718562874,e
82903,0.840740740741,0.850299401198,.
82904,0.19814814814800003,0.413173652695,s
82905,0.442592592593,0.17664670658700002,t
82906,0.6074074074069999,0.395209580838,h
82907,0.433333333333,0.140718562874,t
82908,0.483333333333,0.347305389222,g
82909,0.583333333333,0.838323353293,space
82910,0.0759259259259,0.8832335329340001,symbol
82911,0.774074074074,0.640718562874,m
82912,0.2,0.437125748503,s
82913,0.411111111111,0.59880239521,c
82914,0.825925925926,0.508982035928,k
82915,0.401851851852,0.646706586826,c
82916,0.598148148148,0.440119760479,h
82917,0.583333333333,0.868263473054,space
82918,0.142592592593,0.161676646707,w
82919,0.0648148148148,0.9041916167659999,symbol
82920,0.292592592593,0.646706586826,x
82921,0.574074074074,0.835329341317,space
82922,0.318518518519,0.377245508982,d
82923,0.655555555556,0.5868263473049999,n
82924,0.625925925926,0.835329341317,space
82925,0.233333333333,0.377245508982,s
82926,0.631481481481,0.8922155688619999,space
82927,0.125925925926,0.407185628743,a
82928,0.666666666667,0.766467065868,space
82929,0.7277777777779999,0.637724550898,n
82930,0.822222222222,0.40119760479,k
82931,0.18333333333299998,0.853293413174,","
82932,0.62037037037,0.9041916167659999,space
82933,0.655555555556,0.8712574850299999,space
82934,0.1,0.39221556886200004,a
82935,0.6092592592589999,0.404191616766,h
82936,0.698148148148,0.64371257485,n
82937,0.87037037037,0.37125748503,l
82938,0.022222222222199998,0.805389221557,symbol
82939,0.281481481481,0.152694610778,e
82940,0.646296296296,0.8712574850299999,space
82941,0.37407407407399995,0.14371257485,r
82942,0.474074074074,0.125748502994,t
82943,0.507407407407,0.413173652695,g
82944,0.35370370370399995,0.149700598802,r
82945,0.603703703704,0.479041916168,h
82946,0.637037037037,0.949101796407,space
82947,0.6092592592589999,0.45808383233499994,h
82948,0.35370370370399995,0.200598802395,r
82949,0.501851851852,0.862275449102,space
82950,0.72037037037,0.236526946108,i
82951,0.687037037037,0.661676646707,n
82952,0.65,0.85628742515,space
82953,0.666666666667,0.158682634731,u
82954,0.12037037037000001,0.140718562874,w
82955,0.301851851852,0.155688622754,r
82956,0.616666666667,0.877245508982,space
82957,0.383333333333,0.122754491018,r
82958,0.627777777778,0.898203592814,space
82959,0.311111111111,0.308383233533,d
82960,0.10925925925899999,0.35628742515,a
82961,0.359259259259,0.12874251497000003,r
82962,0.687037037037,0.820359281437,space
82963,0.801851851852,0.434131736527,k
82964,0.625925925926,0.39820359281400003,h
82965,0.7833333333329999,0.137724550898,i
82966,0.40555555555600004,0.679640718563,c
82967,0.805555555556,0.395209580838,k
82968,0.8,0.868263473054,.
82969,0.605555555556,0.8652694610780001,space
82970,0.462962962963,0.85628742515,space
82971,0.592592592593,0.9341317365270001,space
82972,0.811111111111,0.580838323353,m
82973,0.62037037037,0.8293413173649999,space
82974,0.301851851852,0.46407185628700004,d
82975,0.464814814815,0.125748502994,t
82976,0.151851851852,0.39221556886200004,s
82977,0.0537037037037,0.404191616766,a
82978,0.92962962963,0.691616766467,delete
82979,0.127777777778,0.116766467066,w
82980,0.09074074074069999,0.365269461078,a
82981,0.7962962962960001,0.862275449102,.
82982,0.7759259259260001,0.8712574850299999,.
82983,0.7962962962960001,0.877245508982,.
82984,0.57962962963,0.8293413173649999,space
82985,0.612962962963,0.45209580838299995,h
82986,0.611111111111,0.47604790419200005,h
82987,0.472222222222,0.8652694610780001,space
82988,0.7166666666670001,0.39221556886200004,j
82989,0.774074074074,0.383233532934,k
82990,0.235185185185,0.11377245509000002,e
82991,0.696296296296,0.64371257485,n
82992,0.803703703704,0.850299401198,.
82993,0.67962962963,0.646706586826,n
82994,0.707407407407,0.655688622754,n
82995,0.901851851852,0.625748502994,delete
82996,0.92962962963,0.140718562874,p
82997,0.592592592593,0.619760479042,b
82998,0.264814814815,0.0868263473054,e
82999,0.788888888889,0.425149700599,k
83000,0.327777777778,0.107784431138,r
83001,0.46666666666699996,0.167664670659,t
83002,0.08518518518519999,0.443113772455,a
83003,0.6611111111110001,0.140718562874,u
83004,0.622222222222,0.8652694610780001,space
83005,0.290740740741,0.592814371257,x
83006,0.611111111111,0.9041916167659999,space
83007,0.585185185185,0.37125748503,h
83008,0.26296296296300004,0.131736526946,e
